,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
297,Boston Scott,PHI,RB,27,7,1,0,0,0,0,0,25,76,3.04,1,1,1,2,2.00,0,0,0,1,N/A,N/A,14,14.8,14.8,14.3,N/A,82,N/A,2022
298,Shi Smith,CAR,WR,24,10,4,0,0,0,0,0,0,0,N/A,0,24,10,142,14.20,0,1,0,0,N/A,N/A,14,24.2,27.2,19.2,N/A,121,N/A,2022
299,Samori Toure,GNB,WR,24,5,1,0,0,0,0,0,0,0,N/A,0,9,4,75,18.75,1,1,0,1,N/A,N/A,14,17.5,17.5,15.5,N/A,123,N/A,2022
300,River Cracraft,MIA,WR,28,7,0,0,0,0,0,0,0,0,N/A,0,6,2,13,6.50,2,0,0,2,N/A,N/A,13,15.3,15.3,14.3,N/A,125,N/A,2022
301,Jody Fortson,KAN,TE,27,8,0,0,0,0,0,0,0,0,N/A,0,6,4,25,6.25,2,1,1,2,N/A,N/A,13,16.5,17.5,14.5,N/A,52,N/A,2022
302,Zander Horvath,LAC,RB,24,9,1,0,0,0,0,0,3,5,1.67,0,8,5,8,1.60,2,0,0,2,N/A,N/A,13,18.3,18.3,15.8,N/A,83,N/A,2022
303,Tom Kennedy,DET,WR,26,5,1,0,0,0,0,0,0,0,N/A,0,14,7,128,18.29,0,0,0,0,N/A,N/A,13,19.8,22.8,16.3,N/A,126,N/A,2022
304,Elijah Mitchell,SFO,RB,24,2,1,0,0,0,0,0,24,130,5.42,0,2,1,-1,-1.00,0,0,0,0,N/A,N/A,13,13.9,16.9,13.4,N/A,84,N/A,2022
305,Breshad Perriman,TAM,WR,29,8,2,0,0,0,0,0,2,-7,-3.50,0,16,8,101,12.63,1,2,1,1,N/A,N/A,13,21.4,25.4,17.4,N/A,124,N/A,2022
306,Jalen Virgil,DEN,WR,24,1,1,0,0,0,0,0,0,0,N/A,0,1,1,66,66.00,1,0,0,1,N/A,N/A,13,13.6,13.6,13.1,N/A,127,N/A,2022
307,David Bell,CLE,WR,22,9,2,0,0,0,0,0,0,0,N/A,0,16,12,124,10.33,0,0,0,0,N/A,N/A,12,24.4,27.4,18.4,N/A,128,N/A,2022
308,Cameron Brate,TAM,TE,31,6,1,0,0,0,0,0,0,0,N/A,0,24,14,122,8.71,0,0,0,0,N/A,N/A,12,26.2,29.2,19.2,N/A,53,N/A,2022
309,Reggie Gilliam,BUF,RB,25,9,2,0,0,0,0,0,0,0,N/A,0,9,7,57,8.14,1,0,0,1,N/A,N/A,12,18.7,18.7,15.2,N/A,85,N/A,2022
310,Tanner Hudson,NYG,TE,28,9,0,0,0,0,0,0,0,0,N/A,0,14,9,122,13.56,0,0,0,0,N/A,N/A,12,21.2,24.2,16.7,N/A,54,N/A,2022
311,Trey Lance,SFO,QB,22,2,2,15,31,194,0,1,16,67,4.19,0,0,0,0,N/A,0,1,0,0,N/A,N/A,12,12.5,13.5,13.5,N/A,43,N/A,2022
312,Ian Thomas,CAR,TE,26,10,10,0,0,0,0,0,0,0,N/A,0,18,12,120,10.00,0,0,0,0,N/A,N/A,12,24.0,27.0,18.0,N/A,55,N/A,2022
313,Dan Arnold,JAX,TE,27,10,0,0,0,0,0,0,0,0,N/A,0,8,7,113,16.14,0,0,0,0,N/A,N/A,11,18.3,21.3,14.8,N/A,56,N/A,2022
314,Pharaoh Brown,2TM,TE,28,8,6,0,0,0,0,0,0,0,N/A,0,18,11,106,9.64,0,0,0,0,N/A,N/A,11,21.6,24.6,16.1,N/A,59,N/A,2022
315,Josiah Deguara,GNB,TE,25,11,1,0,0,0,0,0,0,0,N/A,0,12,11,106,9.64,0,0,0,0,N/A,N/A,11,21.6,24.6,16.1,N/A,60,N/A,2022
316,Travis Homer,SEA,RB,24,6,0,0,0,0,0,0,7,35,5.00,0,8,8,79,9.88,0,0,0,0,N/A,N/A,11,19.4,19.4,15.4,N/A,86,N/A,2022
317,Keaontay Ingram,ARI,RB,23,5,0,0,0,0,0,0,14,28,2.00,1,2,2,23,11.50,0,0,0,1,N/A,N/A,11,13.1,13.1,12.1,N/A,87,N/A,2022
318,Josh Oliver,BAL,TE,25,9,3,0,0,0,0,0,0,0,N/A,0,11,6,52,8.67,1,0,0,1,N/A,N/A,11,17.2,17.2,14.2,N/A,57,N/A,2022
319,David Sills,NYG,WR,26,8,5,0,0,0,0,0,0,0,N/A,0,17,11,106,9.64,0,0,0,0,N/A,N/A,11,21.6,24.6,16.1,N/A,129,N/A,2022
320,Durham Smythe,MIA,TE,27,9,9,0,0,0,0,0,2,1,0.50,1,9,6,50,8.33,0,0,0,1,N/A,N/A,11,17.1,17.1,14.1,N/A,58,N/A,2022
321,Geoff Swaim,TEN,TE,29,10,8,0,0,0,0,0,0,0,N/A,0,11,8,46,5.75,1,0,0,1,N/A,N/A,11,18.6,18.6,14.6,N/A,61,N/A,2022
322,Ameer Abdullah,LVR,RB,29,9,0,0,0,0,0,0,0,0,N/A,0,16,12,99,8.25,0,0,0,0,N/A,N/A,10,21.9,21.9,15.9,N/A,89,N/A,2022
323,N'Keal Harry,CHI,WR,25,3,0,0,0,0,0,0,0,0,N/A,0,5,4,44,11.00,1,0,0,1,N/A,N/A,10,14.4,14.4,12.4,N/A,130,N/A,2022
324,Dax Milne,WAS,WR,23,10,1,0,0,0,0,0,0,0,N/A,0,7,6,37,6.17,1,0,0,1,N/A,N/A,10,15.7,15.7,12.7,N/A,131,N/A,2022
325,Zack Moss,2TM,RB,25,6,0,0,0,0,0,0,18,95,5.28,0,8,7,27,3.86,0,1,1,0,N/A,N/A,10,17.2,18.2,13.7,N/A,88,N/A,2022
326,Chris Myarick,NYG,TE,27,9,7,0,0,0,0,0,0,0,N/A,0,7,6,42,7.00,1,0,0,1,N/A,N/A,10,16.2,16.2,13.2,N/A,62,N/A,2022
327,Zach Gentry,PIT,TE,26,9,6,0,0,0,0,0,0,0,N/A,0,14,12,92,7.67,0,0,0,0,N/A,N/A,9,21.2,21.2,15.2,N/A,63,N/A,2022
328,C.J. Ham,MIN,RB,29,9,1,0,0,0,0,0,2,6,3.00,1,5,3,21,7.00,0,0,0,1,N/A,N/A,9,11.7,11.7,10.2,N/A,91,N/A,2022
329,Van Jefferson,LAR,WR,26,3,2,0,0,0,0,0,0,0,N/A,0,8,3,27,9.00,1,0,0,1,N/A,N/A,9,11.7,11.7,10.2,N/A,133,N/A,2022
330,Velus Jones Jr.,CHI,WR,25,5,0,0,0,0,0,0,3,41,13.67,0,5,3,24,8.00,1,2,2,1,N/A,N/A,9,11.5,13.5,10.0,N/A,135,N/A,2022
331,Phillip Lindsay,IND,RB,28,3,0,0,0,0,0,0,15,49,3.27,0,8,6,19,3.17,0,0,0,0,1,N/A,9,14.8,14.8,11.8,N/A,90,N/A,2022
332,Denzel Mims,NYJ,WR,25,3,2,0,0,0,0,0,0,0,N/A,0,9,4,92,23.00,0,0,0,0,N/A,N/A,9,13.2,13.2,11.2,N/A,132,N/A,2022
333,James Mitchell,DET,TE,23,6,0,0,0,0,0,0,0,0,N/A,0,4,4,26,6.50,1,0,0,1,N/A,N/A,9,12.6,12.6,10.6,N/A,65,N/A,2022
334,Jalen Reagor,MIN,WR,23,9,0,0,0,0,0,0,1,17,17.00,0,5,3,10,3.33,1,2,0,1,N/A,N/A,9,11.7,11.7,10.2,N/A,134,N/A,2022
335,Armani Rogers,WAS,TE,25,10,3,0,0,0,0,0,1,24,24.00,0,6,5,64,12.80,0,0,0,0,N/A,N/A,9,13.8,13.8,11.3,N/A,64,N/A,2022
336,John Wolford,LAR,QB,27,1,1,24,36,212,1,1,3,3,1.00,0,0,0,0,N/A,0,2,1,0,N/A,N/A,9,8.8,10.8,9.8,N/A,44,N/A,2022
337,Keenan Allen,LAC,WR,30,2,2,0,0,0,0,0,0,0,N/A,0,6,6,77,12.83,0,0,0,0,N/A,N/A,8,13.7,13.7,10.7,N/A,139,N/A,2022
338,John Bates,WAS,TE,25,9,4,0,0,0,0,0,0,0,N/A,0,17,11,84,7.64,0,1,0,0,N/A,N/A,8,19.4,19.4,13.9,N/A,66,N/A,2022
339,Gary Brightwell,NYG,RB,23,9,0,0,0,0,0,0,4,19,4.75,1,0,0,0,N/A,0,0,0,1,N/A,N/A,8,7.9,7.9,7.9,N/A,92,N/A,2022
340,Malik Davis,DAL,RB,24,4,0,0,0,0,0,0,13,61,4.69,0,2,2,18,9.00,0,0,0,0,N/A,N/A,8,9.9,9.9,8.9,N/A,93,N/A,2022
341,Connor Heyward,PIT,TE,23,9,0,0,0,0,0,0,0,0,N/A,0,8,7,76,10.86,0,0,0,0,N/A,N/A,8,14.6,14.6,11.1,N/A,69,N/A,2022
342,Isaiah Hodgins,2TM,WR,24,3,0,0,0,0,0,0,0,0,N/A,0,8,6,82,13.67,0,0,0,0,N/A,N/A,8,14.2,14.2,11.2,N/A,137,N/A,2022
