,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
343,Dion Lewis,PHI,RB,21,15,0,0,0,0,0,0,23,102,4.43,1,1,1,-3,-3.00,0,1,1,1,N/A,N/A,14,14.9,18.9,14.4,N/A,103,N/A,2011
344,Stephen McGee,DAL,QB,26,1,0,24,38,182,1,0,4,28,7.00,0,0,0,0,N/A,0,0,N/A,0,N/A,N/A,14,14.1,14.1,14.1,N/A,53,N/A,2011
345,Bear Pascoe,NYG,TE,25,16,11,0,0,0,0,0,0,0,N/A,0,16,12,136,11.33,0,0,N/A,0,N/A,N/A,14,25.6,28.6,19.6,N/A,56,N/A,2011
346,Logan Paulsen,WAS,TE,24,16,6,0,0,0,0,0,0,0,N/A,0,19,11,138,12.55,0,0,N/A,0,N/A,N/A,14,24.8,27.8,19.3,N/A,55,N/A,2011
347,Brandon Saine,GNB,RB,23,8,0,0,0,0,0,0,18,69,3.83,0,12,10,69,6.90,0,0,N/A,0,N/A,N/A,14,23.8,23.8,18.8,N/A,104,N/A,2011
348,Jamaal Charles,KAN,RB,25,2,1,0,0,0,0,0,12,83,6.92,0,6,5,9,1.80,1,1,1,1,N/A,N/A,13,18.2,19.2,15.7,N/A,105,N/A,2011
349,Jonathan Dwyer,PIT,RB,22,7,0,0,0,0,0,0,16,123,7.69,0,1,1,6,6.00,0,0,N/A,0,N/A,N/A,13,13.9,16.9,13.4,N/A,106,N/A,2011
350,Mossis Madu,TAM,RB,24,9,0,0,0,0,0,0,15,55,3.67,0,12,10,72,7.20,0,0,N/A,0,N/A,N/A,13,22.7,22.7,17.7,N/A,107,N/A,2011
351,Michael Palmer,ATL,TE,23,16,2,0,0,0,0,0,0,0,N/A,0,16,10,72,7.20,1,0,N/A,1,N/A,N/A,13,23.2,23.2,18.2,N/A,57,N/A,2011
352,Charlie Whitehurst,SEA,QB,29,3,2,27,56,298,1,1,4,13,3.25,0,0,0,0,N/A,0,2,1,0,N/A,N/A,13,13.2,15.2,14.2,N/A,54,N/A,2011
353,Terrence Austin,WAS,WR,23,13,0,0,0,0,0,0,0,0,N/A,0,26,12,137,11.42,0,1,1,0,N/A,N/A,12,23.7,27.7,17.7,N/A,135,N/A,2011
354,Greg Camarillo,MIN,WR,29,13,0,0,0,0,0,0,0,0,N/A,0,24,9,121,13.44,0,0,N/A,0,N/A,N/A,12,21.1,24.1,16.6,N/A,134,N/A,2011
355,Colin Cloherty,JAX,TE,24,4,1,0,0,0,0,0,0,0,N/A,0,8,4,57,14.25,0,0,N/A,1,N/A,N/A,12,15.7,15.7,13.7,N/A,58,N/A,2011
356,Jamie Harper,TEN,RB,22,13,0,0,0,0,0,0,17,44,2.59,1,6,4,32,8.00,0,1,1,1,N/A,N/A,12,15.6,16.6,13.6,N/A,111,N/A,2011
